type,id,ntags,tagkey,tagvalue
node,17216409,1,junction,yes
node,17216414,0,,
node,17216429,1,junction,yes
node,17216432,0,,
node,17216435,0,,
node,17216442,1,junction,yes
node,22352470,3,crossing,uncontrolled
node,22352470,3,crossing_ref,zebra
node,22352470,3,highway,crossing
node,22352523,0,,
node,22352553,0,,
node,22352578,0,,
node,22352604,0,,
node,22352629,0,,
node,22352654,0,,
node,22352680,0,,
node,22352736,0,,
node,24265131,1,highway,traffic_signals
node,26082601,2,highway,traffic_signals
node,26082601,2,traffic_signals,Traffic_Lights
node,26082614,0,,
node,26082617,2,highway,traffic_signals
node,26082617,2,junction,yes
node,26082644,0,,
node,26082653,0,,
node,26082684,0,,
node,26504542,0,,
node,26504551,0,,
node,26504563,0,,
node,26504655,0,,
node,26504666,0,,
node,29024778,0,,
node,29024985,0,,
node,29025065,0,,
node,29025095,0,,
node,29025350,0,,
node,29025354,0,,
node,29025388,0,,
node,29025439,1,junction,yes
node,29025461,0,,
node,29025565,0,,
node,29025708,1,junction,yes
node,29025724,1,highway,traffic_signals
node,30763089,0,,
node,30763091,0,,
node,30763092,0,,
node,30763093,0,,
node,30763094,0,,
node,30763095,0,,
node,30763096,0,,
node,30763097,0,,
node,30763102,0,,
node,30763114,0,,
node,30763115,0,,
node,30763116,0,,
node,30763118,0,,
node,30763120,0,,
node,30763124,0,,
node,30763125,0,,
node,30763126,0,,
node,30763129,0,,
node,30763133,0,,
node,30763135,0,,
node,30763136,0,,
node,30763137,0,,
node,30763138,0,,
node,30763139,0,,
node,30763142,0,,
node,30763143,0,,
node,30763144,0,,
node,30763145,0,,
node,30763146,0,,
node,30763147,0,,
node,30763148,0,,
node,30763150,0,,
node,30763151,0,,
node,30763152,0,,
node,30763153,0,,
node,30763155,0,,
node,30763156,0,,
node,30763157,0,,
node,30763158,0,,
node,30763159,0,,
node,30763161,0,,
node,30763162,0,,
node,30763163,0,,
node,30763164,0,,
node,30763165,0,,
node,30763166,0,,
node,30763167,0,,
node,30763168,0,,
node,30763169,0,,
node,30763170,0,,
node,30763171,0,,
node,30763172,0,,
node,30763173,0,,
node,30763174,0,,
node,30763175,0,,
node,30763176,0,,
node,30763177,0,,
node,30763178,0,,
node,30763179,0,,
node,30763180,0,,
node,30763182,0,,
node,30763183,0,,
node,30763184,0,,
node,30763185,0,,
node,30763186,0,,
node,30763200,0,,
node,30763205,0,,
node,30763208,0,,
node,30763209,0,,
node,30763212,0,,
node,30763213,0,,
node,30763214,0,,
node,30763215,1,highway,traffic_signals
node,30763218,0,,
node,30763219,0,,
node,30763220,0,,
node,30763221,0,,
node,30763224,0,,
node,30763225,0,,
node,30763226,0,,
node,30763241,0,,
node,30763242,0,,
node,30763243,0,,
node,30763493,0,,
node,30763494,0,,
node,30763495,0,,
node,30763496,0,,
node,30763497,0,,
node,30763498,0,,
node,30763499,0,,
node,30763500,0,,
node,30763501,0,,
node,30763505,0,,
node,30763506,0,,
node,30763508,0,,
node,30763510,0,,
node,30763511,0,,
node,30763513,0,,
node,30763515,0,,
node,30763516,0,,
node,30763517,0,,
node,30763518,0,,
node,30763519,0,,
node,30763520,0,,
node,30763521,0,,
node,30763522,0,,
node,30763523,0,,
node,30763524,0,,
node,30763525,0,,
node,30763536,0,,
node,30764650,0,,
node,30764651,0,,
node,30764652,0,,
node,30764668,0,,
node,32476225,0,,
node,32476245,0,,
node,32476287,0,,
node,32476298,0,,
node,32476327,0,,
node,32476366,0,,
node,32476389,0,,
node,33452214,0,,
node,33625122,0,,
node,127457564,0,,
node,127457565,0,,
node,130023532,0,,
node,130023534,0,,
node,214994761,0,,
node,214994763,0,,
node,214994766,0,,
node,214994767,0,,
node,214994769,0,,
node,214994770,0,,
node,214994772,0,,
node,214995198,0,,
node,214995199,0,,
node,214995202,0,,
node,214995203,0,,
node,214996271,0,,
node,214996272,0,,
node,214996273,0,,
node,214996275,0,,
node,214996276,0,,
node,214996278,0,,
node,214996279,0,,
node,214996280,0,,
node,214996282,0,,
node,214996283,0,,
node,214996285,0,,
node,214996287,0,,
node,214996288,0,,
node,214996289,0,,
node,214996291,0,,
node,214996292,0,,
node,214998774,0,,
node,215001053,0,,
node,215001054,0,,
node,215002108,0,,
node,215003059,0,,
node,215003230,0,,
node,219736478,0,,
node,219738587,4,crossing,uncontrolled
node,219738587,4,highway,crossing
node,219738587,4,tactile_paving,no
node,219738587,4,wheelchair,limited
node,219738591,4,crossing,uncontrolled
node,219738591,4,highway,crossing
node,219738591,4,tactile_paving,no
node,219738591,4,wheelchair,limited
node,247302700,1,noexit,yes
node,249247393,0,,
node,249247443,0,,
node,249247444,0,,
node,249247465,0,,
node,249247540,0,,
node,249247573,0,,
node,249247574,0,,
node,249247597,0,,
node,249247605,1,created_by,JOSM
node,249247643,0,,
node,249247676,0,,
node,249247678,0,,
node,249247683,0,,
node,249247688,0,,
node,249247689,0,,
node,249247706,0,,
node,249247729,0,,
node,249247761,0,,
node,249247762,0,,
node,249247767,0,,
node,249247768,0,,
node,249247806,0,,
node,249247866,0,,
node,249247868,0,,
node,249247873,0,,
node,249247877,0,,
node,249247883,0,,
node,249247887,0,,
node,249247909,0,,
node,249248065,0,,
node,249248082,0,,
node,249248093,0,,
node,249248101,0,,
node,249248102,1,created_by,JOSM
node,249248106,0,,
node,249248114,0,,
node,249248180,0,,
node,249248198,0,,
node,249248228,0,,
node,249248253,0,,
node,249248270,0,,
node,249248283,0,,
node,249248299,0,,
node,249248305,0,,
node,249248358,0,,
node,249248363,0,,
node,249248388,0,,
node,249248391,0,,
node,249248412,0,,
node,249248473,0,,
node,249248478,0,,
node,249248482,0,,
node,249248491,0,,
node,249248502,0,,
node,249248621,1,created_by,JOSM
node,249248675,0,,
node,249248727,0,,
node,249248770,0,,
node,249248797,0,,
node,249248815,0,,
node,249248819,0,,
node,249248911,0,,
node,249248914,0,,
node,249248923,0,,
node,249248943,0,,
node,249248966,0,,
node,249248970,0,,
node,249248972,0,,
node,249248985,0,,
node,249249081,0,,
node,249249353,0,,
node,249249432,0,,
node,249249436,0,,
node,249249458,0,,
node,249249586,0,,
node,249249622,1,created_by,JOSM
node,250541658,0,,
node,250543377,0,,
node,250543673,0,,
node,250543892,0,,
node,250544030,0,,
node,250544181,0,,
node,250544448,0,,
node,250544614,0,,
node,250545026,0,,
node,250545310,0,,
node,250545737,0,,
node,250546079,0,,
node,250546138,0,,
node,250546322,0,,
node,250546812,0,,
node,250546876,0,,
node,250547000,0,,
node,250547176,0,,
node,250547422,0,,
node,250547434,0,,
node,255053246,7,addr:city,Quezon City
node,255053246,7,addr:postcode,1101
node,255053246,7,addr:street,Carlos P. Garcia Avenue
node,255053246,7,amenity,restaurant
node,255053246,7,name,Likha Diwa
node,255053246,7,source,jklinc
node,255053246,7,source:url,http://www.freewebs.com/phroadguide/
node,255054582,0,,
node,255058452,7,amenity,school
node,255058452,7,is_in:city,Quezon City
node,255058452,7,is_in:region,Ncr
node,255058452,7,is_in:zip,1100
node,255058452,7,name,UP Center for Women Studies
node,255058452,7,source,jklinc
node,255058452,7,source:url,http://www.freewebs.com/phroadguide/
node,255059844,8,garmin:description,building
node,255059844,8,is_in:city,Quezon City
node,255059844,8,is_in:region,Ncr
node,255059844,8,is_in:zip,1100
node,255059844,8,name,State Auditing And Accounting Building
node,255059844,8,office,yes
node,255059844,8,source,jklinc
node,255059844,8,source:url,http://www.freewebs.com/phroadguide/
node,255061242,0,,
node,255061504,0,,
node,255065937,0,,
node,255065999,5,addr:city,Quezon City
node,255065999,5,man_made,survey_point
node,255065999,5,name,GPS Station MMA5
node,255065999,5,source,jklinc
node,255065999,5,source:url,http://www.freewebs.com/phroadguide/
node,255066362,0,,
node,255071562,1,entrance,main
node,259135326,0,,
node,259135355,0,,
node,259135376,0,,
node,259135378,0,,
node,259135384,0,,
node,259135386,0,,
node,259135395,0,,
node,259135449,0,,
node,259135455,0,,
node,259135458,0,,
node,259135460,0,,
node,259135463,0,,
node,259135466,0,,
node,259135478,0,,
node,259135483,0,,
node,273729970,0,,
node,273729980,0,,
node,273730020,0,,
node,284135269,0,,
node,284135270,0,,
node,284135271,0,,
node,284135272,0,,
node,284135355,0,,
node,284135357,0,,
node,284135420,0,,
node,284135421,0,,
node,286083642,0,,
node,299229687,0,,
node,299229688,0,,
node,299229806,0,,
node,299229807,0,,
node,299229808,0,,
node,299229809,0,,
node,299230049,0,,
node,299230051,0,,
node,299230052,0,,
node,299230078,0,,
node,299230080,0,,
node,299230089,0,,
node,299230091,0,,
node,299230092,0,,
node,299230093,0,,
node,299230100,0,,
node,299230107,0,,
node,305616816,0,,
node,305616817,0,,
node,305616818,0,,
node,305616859,0,,
node,305616861,0,,
node,305616863,0,,
node,305616864,0,,
node,305617024,0,,
node,305617268,0,,
node,305617270,0,,
node,305617272,0,,
node,305617275,0,,
node,305617277,0,,
node,305617279,0,,
node,305617281,0,,
node,305617283,0,,
node,305617345,0,,
node,305617347,0,,
node,305617511,0,,
node,305617513,0,,
