type,id,ntags,tagkey,tagvalue,lat,lon
node,14446670,33,"['admin_level', 'name', 'name:af', 'name:ar', 'name:ca', 'name:ceb', 'name:en', 'name:eo', 'name:es', 'name:fa', 'name:ilo', 'name:it', 'name:ja', 'name:kn', 'name:ko', 'name:pam', 'name:pt', 'name:ru', 'name:tl', 'name:uk', 'name:ur', 'name:zh', 'place', 'population', 'population:date', 'short_name:ar', 'short_name:fa', 'short_name:ur', 'source:name:oc', 'source:population', 'website', 'wikidata', 'wikipedia']","['6', 'Quezon City', 'Quezon Stad', 'مدينة كيزون', 'Ciutat Quezon', 'Dakbayang Quezon', 'Quezon City', 'Kesonurbo', 'Ciudad Quezon', 'کزون سیتی', 'Siudad Quezon', 'Città Quezon', 'ケソン', 'ಕೇಜೊನ್', '케손시티', 'Lakanbaleng Quezon', 'Cidade Quezon', 'Кесон-Сити', 'Lungsod Quezon', 'Кесон-Сіті', 'کیزون سٹی', '计顺市', 'city', '2936116', '2015-08-01', 'كيزون', 'کزون', 'کیزون', 'Lo Congrès', 'Philippine Statistics Authority', 'http://www.quezoncity.gov.ph/', 'Q1475', 'en:Quezon City']",14.6509905,121.0486155
node,17216288,0,,,14.6519281,121.0518545
node,17216296,0,,,14.6485653,121.0503341
node,17216297,0,,,14.6507796,121.0520361
node,17216307,0,,,14.6542525,121.0496617
node,17216337,0,,,14.6538177,121.0504452
node,17216338,0,,,14.6531421,121.0512151
node,17216339,0,,,14.6514186,121.0519897
node,17216342,0,,,14.6510911,121.0520316
node,17216343,0,,,14.6495323,121.0516905
node,17216346,0,,,14.6492688,121.0514755
node,17216347,0,,,14.6485956,121.0510033
node,17216409,1,['junction'],['yes'],14.6549972,121.064311
node,17216414,0,,,14.6561608,121.0727613
node,17216424,0,,,14.654883,121.0559832
node,17216429,1,['junction'],['yes'],14.6538678,121.0686171
node,17216432,0,,,14.6539063,121.0707942
node,17216435,0,,,14.6561462,121.0707449
node,17216442,1,['junction'],['yes'],14.6549424,121.0623391
node,21834267,0,,,14.6535147,121.0508452
node,21834345,0,,,14.6485461,121.0502428
node,21834402,0,,,14.6541712,121.0473177
node,21834480,0,,,14.6490155,121.0512246
node,21834521,0,,,14.6534949,121.0469391
node,21834569,0,,,14.649406,121.0477453
node,21834638,0,,,14.6485109,121.0496811
node,21834686,0,,,14.6541942,121.0497874
node,21834704,0,,,14.6535851,121.0742971
node,22352470,3,"['crossing', 'crossing_ref', 'highway']","['uncontrolled', 'zebra', 'crossing']",14.6545921,121.0584406
node,22352523,0,,,14.6482838,121.0597369
node,22352553,0,,,14.6473091,121.0602864
node,22352578,0,,,14.6471869,121.0616906
node,22352604,0,,,14.6476686,121.0636648
node,22352629,0,,,14.6479731,121.0661241
node,22352654,0,,,14.6472645,121.0678727
node,22352680,0,,,14.6472026,121.0698461
node,22352736,0,,,14.6482111,121.0725382
node,24265131,1,['highway'],['traffic_signals'],14.6548991,121.0584286
node,26082601,4,"['highway', 'note', 'traffic_signals', 'traffic_signals:direction']","['traffic_signals', 'To UP Gate / Katipunan', 'Traffic_Lights', 'forward']",14.6575585,121.0742238
node,26082614,0,,,14.6575339,121.0716041
node,26082617,2,"['highway', 'junction']","['traffic_signals', 'yes']",14.6561338,121.0685955
node,26082644,0,,,14.6598017,121.0726998
node,26082653,0,,,14.6594268,121.068542
node,26082684,0,,,14.6594481,121.0727171
node,26272571,0,,,14.64501,121.074471
node,26272674,0,,,14.6463319,121.0742967
node,26504542,0,,,14.6443354,121.0701561
node,26504551,0,,,14.6460123,121.0682009
node,26504563,0,,,14.6477045,121.0668988
node,26504655,0,,,14.6464517,121.0679654
node,26504666,0,,,14.6475376,121.0642155
node,29024778,0,,,14.6540542,121.0728504
node,29024985,0,,,14.6539724,121.0708056
node,29025065,0,,,14.6535852,121.0728079
node,29025095,0,,,14.6548806,121.0731121
node,29025350,0,,,14.6540003,121.0725416
node,29025354,0,,,14.6542705,121.0550526
node,29025388,0,,,14.65458,121.0565522
node,29025439,1,['junction'],['yes'],14.6548201,121.0643146
node,29025461,0,,,14.6538976,121.0647769
node,29025555,0,,,14.6541443,121.0567235
node,29025565,0,,,14.6544881,121.0561107
node,29025708,1,['junction'],['yes'],14.6547769,121.0623413
node,29025724,1,['highway'],['traffic_signals'],14.654723,121.0584358
node,29100727,0,,,14.6544539,121.0537926
node,29583445,0,,,14.6503188,121.0519952
node,29583478,0,,,14.6501529,121.0535758
node,30760005,0,,,14.6623455,121.0747757
node,30760147,0,,,14.6592126,121.0759996
node,30763089,0,,,14.6575361,121.0706238
node,30763091,0,,,14.6588458,121.0716041
node,30763092,0,,,14.6598366,121.0739902
node,30763093,0,,,14.6592946,121.0739939
node,30763094,0,,,14.6592937,121.0748037
node,30763095,0,,,14.6598407,121.0748742
node,30763096,0,,,14.660556,121.0740527
node,30763097,0,,,14.6606544,121.0748438
node,30763099,0,,,14.6565106,121.0742067
node,30763102,0,,,14.6548894,121.0741102
node,30763114,0,,,14.652492,121.0686443
node,30763115,0,,,14.6594393,121.071606
node,30763116,0,,,14.6594284,121.0706183
node,30763118,0,,,14.6575393,121.068569
node,30763120,0,,,14.656139,121.0697541
node,30763124,0,,,14.6608536,121.0685552
node,30763125,0,,,14.6602374,121.0685214
node,30763126,0,,,14.6602138,121.0704731
node,30763129,0,,,14.6608365,121.0704917
node,30763133,0,,,14.6618021,121.0700344
node,30763135,0,,,14.6615322,121.068628
node,30763136,0,,,14.6623788,121.0686564
node,30763137,0,,,14.6625991,121.0699932
node,30763138,0,,,14.6620834,121.0713166
node,30763139,0,,,14.6622452,121.0719938
node,30763140,0,,,14.6616227,121.0745193
node,30763142,0,,,14.6561524,121.0716067
node,30763143,0,,,14.6575663,121.0740129
node,30763144,0,,,14.659255,121.0670987
node,30763145,0,,,14.657573,121.0657758
node,30763146,0,,,14.6601219,121.0670524
node,30763147,0,,,14.6605832,121.0669771
node,30763148,0,,,14.6608611,121.0668646
node,30763150,0,,,14.6592612,121.0685446
node,30763151,0,,,14.6575611,121.0669481
node,30763152,0,,,14.6585559,121.0670682
node,30763153,0,,,14.6576454,121.060393
node,30763155,0,,,14.6576654,121.0623665
node,30763156,0,,,14.6587542,121.0631977
node,30763157,0,,,14.6579303,121.0623748
node,30763158,0,,,14.6575767,121.0647996
node,30763159,0,,,14.66012,121.0648509
node,30763161,0,,,14.6621656,121.0670084
node,30763162,0,,,14.6617332,121.0669178
node,30763163,0,,,14.6616316,121.0721609
node,30763164,0,,,14.6604046,121.0722258
node,30763165,0,,,14.6610626,121.0718042
node,30763166,0,,,14.661082,121.0711171
node,30763167,0,,,14.6603462,121.0715588
node,30763168,0,,,14.6617824,121.0707605
node,30763169,0,,,14.6628352,121.0712642
node,30763170,0,,,14.6629439,121.0718954
node,30763171,0,,,14.6627673,121.0731338
node,30763172,0,,,14.6622195,121.0727697
node,30763173,0,,,14.6617615,121.0736714
node,30763174,0,,,14.6614235,121.0733042
node,30763175,0,,,14.6606814,121.0725193
node,30763176,0,,,14.6609438,121.0728301
node,30763177,0,,,14.6588601,121.0727326
node,30763178,0,,,14.6476844,121.0642899
node,30763179,0,,,14.650664,121.0623339
node,30763180,0,,,14.6502213,121.0623235
node,30763182,0,,,14.6530139,121.0644947
node,30763183,0,,,14.6506796,121.064424
node,30763184,0,,,14.650231,121.0643929
node,30763185,0,,,14.6518008,121.0670039
node,30763186,0,,,14.6519378,121.06507
node,30763200,0,,,14.6503769,121.0668207
node,30763205,0,,,14.6529711,121.0623339
node,30763208,0,,,14.6479379,121.0686591
node,30763209,0,,,14.6478568,121.0686093
node,30763212,0,,,14.6518289,121.0685582
node,30763213,0,,,14.6511543,121.0684185
node,30763214,0,,,14.6500436,121.0685415
node,30763215,1,['highway'],['traffic_signals'],14.647202,121.0689747
node,30763218,0,,,14.652094,121.0728048
node,30763219,0,,,14.651507,121.0721022
node,30763220,0,,,14.6504195,121.0720008
node,30763221,0,,,14.6505162,121.0724724
node,30763224,0,,,14.6483431,121.0738073
node,30763225,0,,,14.6611999,121.073505
node,30763226,0,,,14.6616521,121.0728407
node,30763241,0,,,14.6613474,121.0722216
node,30763242,0,,,14.6597965,121.071602
node,30763243,0,,,14.6490874,121.0668249
node,30763493,0,,,14.6477267,121.0650291
node,30763494,0,,,14.6478075,121.0653881
node,30763495,0,,,14.6451361,121.064565
node,30763496,0,,,14.6445439,121.0645321
node,30763497,0,,,14.6445321,121.0648942
node,30763498,0,,,14.6445263,121.065243
