type,id,ntags,tagkey,tagvalue,lat,lon
node,17216409,1,['junction'],['yes'],14.6549972,121.064311
node,17216414,0,,,14.6561608,121.0727613
node,17216429,1,['junction'],['yes'],14.6538678,121.0686171
node,17216432,0,,,14.6539063,121.0707942
node,17216435,0,,,14.6561462,121.0707449
node,17216442,1,['junction'],['yes'],14.654945,121.0623539
node,22352470,3,"['crossing', 'crossing_ref', 'highway']","['uncontrolled', 'zebra', 'crossing']",14.6545921,121.0584406
node,22352523,0,,,14.6482838,121.0597369
node,22352553,0,,,14.6473091,121.0602864
node,22352578,0,,,14.6471869,121.0616906
node,22352604,0,,,14.6476686,121.0636648
node,22352629,0,,,14.6479731,121.0661241
node,22352654,0,,,14.6472645,121.0678727
node,22352680,0,,,14.6472026,121.0698461
node,22352736,0,,,14.6482111,121.0725382
node,24265131,1,['highway'],['traffic_signals'],14.6548991,121.0584286
node,26082601,2,"['highway', 'traffic_signals']","['traffic_signals', 'Traffic_Lights']",14.6575585,121.0742238
node,26082614,0,,,14.6575339,121.0716041
node,26082617,2,"['highway', 'junction']","['traffic_signals', 'yes']",14.6561338,121.0685955
node,26082644,0,,,14.6598017,121.0726998
node,26082653,0,,,14.6594268,121.068542
node,26082684,0,,,14.6594332,121.0727125
node,26504542,0,,,14.6443322,121.0701574
node,26504551,0,,,14.6460123,121.0682009
node,26504563,0,,,14.6477045,121.0668988
node,26504655,0,,,14.6464517,121.0679654
node,26504666,0,,,14.6475376,121.0642155
node,29024778,0,,,14.6540542,121.0728504
node,29024985,0,,,14.6539724,121.0708204
node,29025065,0,,,14.6535852,121.0728079
node,29025095,0,,,14.6548806,121.0731121
node,29025350,0,,,14.6540003,121.0725416
node,29025354,0,,,14.6542705,121.0550526
node,29025388,0,,,14.65458,121.0565522
node,29025439,1,['junction'],['yes'],14.6548201,121.0643146
node,29025461,0,,,14.6538976,121.0647769
node,29025565,0,,,14.6544881,121.0561107
node,29025708,1,['junction'],['yes'],14.6547775,121.062354
node,29025724,1,['highway'],['traffic_signals'],14.654723,121.0584358
node,30763089,0,,,14.6575361,121.0706238
node,30763091,0,,,14.6588458,121.0716041
node,30763092,0,,,14.6598366,121.0739902
node,30763093,0,,,14.6592946,121.0739939
node,30763094,0,,,14.6592924,121.0748024
node,30763095,0,,,14.6598394,121.0748729
node,30763096,0,,,14.660556,121.0740527
node,30763097,0,,,14.6606531,121.0748425
node,30763102,0,,,14.6548838,121.0740472
node,30763114,0,,,14.652492,121.0686443
node,30763115,0,,,14.6594289,121.0716014
node,30763116,0,,,14.6594284,121.0706183
node,30763118,0,,,14.6575393,121.068569
node,30763120,0,,,14.656139,121.0697541
node,30763124,0,,,14.6608536,121.0685552
node,30763125,0,,,14.6602374,121.0685214
node,30763126,0,,,14.6602138,121.0704731
node,30763129,0,,,14.6608365,121.0704917
node,30763133,0,,,14.6618021,121.0700344
node,30763135,0,,,14.6615322,121.068628
node,30763136,0,,,14.6623788,121.0686564
node,30763137,0,,,14.6625991,121.0699932
node,30763138,0,,,14.6620834,121.0713166
node,30763139,0,,,14.6622452,121.0719938
node,30763142,0,,,14.6561524,121.0716067
node,30763143,0,,,14.6575663,121.0740129
node,30763144,0,,,14.6592511,121.0671272
node,30763145,0,,,14.657573,121.0657758
node,30763146,0,,,14.6601219,121.0670524
node,30763147,0,,,14.6605832,121.0669771
node,30763148,0,,,14.6608611,121.0668646
node,30763150,0,,,14.6592612,121.0685446
node,30763151,0,,,14.6575611,121.0669481
node,30763152,0,,,14.6585559,121.0670682
node,30763153,0,,,14.6576454,121.060393
node,30763155,0,,,14.6576667,121.0623799
node,30763156,0,,,14.6587305,121.0632152
node,30763157,0,,,14.6579303,121.0623748
node,30763158,0,,,14.6575767,121.0647996
node,30763159,0,,,14.6600889,121.0648442
node,30763161,0,,,14.6621656,121.0670084
node,30763162,0,,,14.6617332,121.0669178
node,30763163,0,,,14.6616316,121.0721609
node,30763164,0,,,14.6604046,121.0722258
node,30763165,0,,,14.6610626,121.0718042
node,30763166,0,,,14.661082,121.0711171
node,30763167,0,,,14.6603462,121.0715588
node,30763168,0,,,14.6617824,121.0707605
node,30763169,0,,,14.6628352,121.0712642
node,30763170,0,,,14.6629439,121.0718954
node,30763171,0,,,14.6627673,121.0731338
node,30763172,0,,,14.6622195,121.0727697
node,30763173,0,,,14.6617615,121.0736714
node,30763174,0,,,14.6614235,121.0733042
node,30763175,0,,,14.6606944,121.0725649
node,30763176,0,,,14.6609438,121.0728301
node,30763177,0,,,14.6588601,121.0727326
node,30763178,0,,,14.6476844,121.0642899
node,30763179,0,,,14.6506627,121.0623312
node,30763180,0,,,14.6502213,121.0623235
node,30763182,0,,,14.6530139,121.0644947
node,30763183,0,,,14.6506323,121.0644021
node,30763184,0,,,14.6502042,121.064386
node,30763185,0,,,14.6518008,121.0670039
node,30763186,0,,,14.6519378,121.06507
node,30763200,0,,,14.6503769,121.0668207
node,30763205,0,,,14.6529711,121.0623339
node,30763208,0,,,14.6479379,121.0686591
node,30763209,0,,,14.6478568,121.0686093
node,30763212,0,,,14.6517103,121.0685313
node,30763213,0,,,14.6511543,121.0684185
node,30763214,0,,,14.6500436,121.0685415
node,30763215,1,['highway'],['traffic_signals'],14.647202,121.0689747
node,30763218,0,,,14.652094,121.0728048
node,30763219,0,,,14.651507,121.0721022
node,30763220,0,,,14.6504195,121.0720008
node,30763221,0,,,14.6505162,121.0724724
node,30763224,0,,,14.6483431,121.0738073
node,30763225,0,,,14.6611999,121.073505
node,30763226,0,,,14.6616521,121.0728407
node,30763241,0,,,14.6613474,121.0722216
node,30763242,0,,,14.6597965,121.071602
node,30763243,0,,,14.6490874,121.0668249
node,30763493,0,,,14.6477267,121.0650291
node,30763494,0,,,14.6478075,121.0653881
node,30763495,0,,,14.6451646,121.064565
node,30763496,0,,,14.6445439,121.0645321
node,30763497,0,,,14.6445321,121.0648942
node,30763498,0,,,14.6445263,121.065243
node,30763499,0,,,14.643728,121.0652169
node,30763500,0,,,14.6436779,121.0648547
node,30763501,0,,,14.6437553,121.0644569
node,30763505,0,,,14.6416859,121.0630102
node,30763506,0,,,14.6424767,121.0640906
node,30763508,0,,,14.6427592,121.063873
node,30763510,0,,,14.6433613,121.0646857
node,30763511,0,,,14.6431723,121.0650403
node,30763513,0,,,14.6419925,121.0628116
node,30763515,0,,,14.6473505,121.0623517
node,30763516,0,,,14.6468579,121.0620769
node,30763517,0,,,14.6469086,121.0626676
node,30763518,0,,,14.6472964,121.0637766
node,30763519,0,,,14.6452128,121.0639987
node,30763520,0,,,14.6457264,121.0640019
node,30763521,0,,,14.6444433,121.0640572
node,30763522,0,,,14.6443416,121.0629988
node,30763523,0,,,14.6463682,121.0620461
node,30763524,0,,,14.6456706,121.062333
node,30763525,0,,,14.6451998,121.0625204
node,30763536,0,,,14.6443644,121.0634026
