type,id,ntags,tagkey,tagvalue,nodes
way,4095389,11,"['foot', 'highway', 'lanes', 'lit', 'name', 'oneway', 'postal_code', 'ref', 'sidewalk', 'smoking', 'surface']","['no', 'tertiary', '3', 'yes', 'University Avenue', 'yes', '1101', '175', 'separate', 'no', 'asphalt']","[17216409,2672533803,2074398262,4412520606,2074398260,17216442]"
way,4308740,3,"['highway', 'name', 'surface']","['unclassified', 'F. Ma. Guerrero', 'concrete']","[17216414,2947162299,2947162296,3981680986,3981680987,3983839987,1402839299,1402839308,30763177,4412520589,26082684]"
way,4308743,3,"['highway', 'name', 'surface']","['unclassified', 'Laurel Avenue', 'concrete']","[30763115,3981680993,30763116,33625122,3981680992,3981680991,26082653]"
way,4351562,4,"['boundary', 'highway', 'level', 'name']","['religious', 'residential', '10', 'Aguinaldo']","[22352654,351982074,5464286827,1235577980,1319775844,5464780905,26504655,1319775962,26504551,369135831,1235577984,1649990562,6097106258,26504542]"
way,4486540,10,"['bus:lanes', 'cycleway:lane', 'cycleway:left', 'highway', 'lanes', 'lcn', 'maxspeed', 'name', 'oneway', 'sidewalk']","['no|yes|designated', 'advisory', 'lane', 'tertiary', '2', 'yes', '50', 'M. Roxas Avenue', 'yes', 'both']","[17216429,5446837614,5446837610,321704553,5446856663,4412520596,5446843357,5446790520,5319900263,17216432,5449354299,321704550,2672504744,5449354298,4988311112]"
way,4588960,1,['highway'],['footway'],"[635682462,1931500061,1931500047,2172840849]"
way,4588969,4,"['access', 'highway', 'name', 'surface']","['yes', 'unclassified', 'A. Ma. Regidor', 'concrete']","[29025065,5465081184,5465081178,2672533750,433178870]"
way,4588972,2,"['highway', 'service']","['service', 'driveway']","[17216432,5369579207,5449354282,1421879972,433178848]"
way,4588977,3,"['highway', 'name', 'oneway']","['unclassified', 'Shuster', 'yes']","[29025065,1404393438,5832237785]"
way,4589054,3,"['foot', 'footway', 'highway']","['designated', 'sidewalk', 'footway']","[6279956252,219738587,4951800921,219738591,29025354,5286818301,29025565,29025388,1074577652,5352041661,1524609832,22352470,2672540477,1208264470,321702009,2125080931,5446874462,2172840849]"
way,4794353,4,"['access', 'highway', 'name', 'postal_code']","['destination', 'unclassified', 'Emilio Jacinto', '1101']","[30763205,1402231133,5465086251,2672504810,2672562973,6505167957,5465124136,5465116142,6505167962,6505167961,2074398241,30763179,30763180,1931500057,1402297913,1931500052,2074398230,7176502733,7176502746,7176502736,2365538805,30763515]"
way,4922717,3,"['highway', 'name', 'oneway']","['residential', 'Lt. J. Francisco', 'yes']","[30763518,2569140138,2569140129,2569150776,30763520,5465013062,30763519,30763521]"
way,4922719,4,"['admin_level', 'boundary', 'highway', 'name']","['10', 'administrative', 'residential', 'B. Baluyot']","[1096054480,2193903081,30763516,606282221,3964405947,30763517,606282223,30763518,5464983934,5464983933,1422732173,5464983935,321702314]"
way,4922725,3,"['highway', 'name', 'oneway']","['residential', 'V. Francisco', 'yes']","[30763516,2672533775,30763523,2569323070,2193903106,30763524,30763525,2672700128,2672700108,30763522]"
way,4922726,3,"['access', 'highway', 'name']","['destination', 'unclassified', 'E. De los Santos']","[29025461,5446811921,6626961642,427518898,5465086253,5465086254,5465086255,4412524982,321701050,2947144251,321701051,1319793350,30763186,1432591802,321701052,1421875702,5464286856,1541787787,30763200]"
way,4922728,3,"['highway', 'name', 'oneway']","['unclassified', 'F. Agoncillo Street', 'yes']","[30763142,321703869,321703860,321703863,26082614,30763091,3365347774,3365347777,30763115]"
way,4922732,2,"['highway', 'name']","['footway', 'Beta Way']","[30763120,5319831142]"
way,4922734,2,"['highway', 'name']","['residential', 'Village B']","[30763179,30763183]"
way,4922737,2,"['highway', 'name']","['residential', 'Village B']","[30763180,30763184]"
way,4922743,2,"['highway', 'name']","['unclassified', 'Pardo de Tavera']","[30763185,2672562967,5446879741,321700656,321700657,5446879746,5446879747,321700658,4903638318,5446879752,5446879750,30763114]"
way,4922744,3,"['access', 'highway', 'name']","['destination', 'unclassified', 'Lakandula']","[30763205,5465086242,6505167959,30763182,427518898]"
way,4922745,2,"['highway', 'name']","['residential', 'C. V. Francisco']","[30763505,30763506,2672699909,750534443,30763511,5464969470,750534417,750534450,750534447,30763499,30763498,5465013064,30763494]"
way,4922746,4,"['access', 'highway', 'name', 'postal_code']","['destination', 'unclassified', 'Delos Reyes', '1101']","[30763182,30763183,2672514241,30763184,1402297896,1402297920,5464974894,30763178]"
way,4922747,2,"['highway', 'name']","['residential', 'H. R. Ocampo']","[30763493,5465013063,30763497,30763500,5464969472,5464969471,1422732174,30763510,5464988112,30763508,30763513]"
way,4922748,4,"['admin_level', 'boundary', 'highway', 'name']","['10', 'administrative', 'residential', 'V. Manansala']","[3243901162,1649990355,1649990317,1649990359,1649990344,1649990301,30763495,30763496,1422732171,5464969462,5464969463,30763501]"
way,5032423,2,"['highway', 'name']","['residential', 'Balagtas']","[30763151,1422779200,321701210,30763152,30763144,433178879,2910765266,30763146,1422779199,5499240541,30763147,30763148,321704346,5499240542,30763162,5499240544,5499240540,5499240543,30763161]"
way,5032424,2,"['highway', 'name']","['residential', 'Roces']","[26082653,433178891,321703742,338421121,30763125,30764650,30763124,30763135]"
